accuracy,loss,val_accuracy,val_loss,learning_rate
0.5174643993377686,0.41317757964134216,0.7931034564971924,0.2954360246658325,0.0005000000237487257
0.827296257019043,0.1527608186006546,0.8916256427764893,0.19104424118995667,0.0005000000237487257
0.8945665955543518,0.09905634820461273,0.9261083602905273,0.12014677375555038,0.0005000000237487257
0.9210866689682007,0.07427467405796051,0.9507389068603516,0.08148081600666046,0.0005000000237487257
0.9501940608024597,0.054699160158634186,0.9630541801452637,0.05733747035264969,0.0005000000237487257
0.9695989489555359,0.038804277777671814,0.9704433679580688,0.04164966195821762,0.0005000000237487257
0.9838292598724365,0.028636790812015533,0.9753694534301758,0.03425087779760361,0.0005000000237487257
0.9805951118469238,0.024888895452022552,0.9679803252220154,0.033121734857559204,0.0005000000237487257
0.9864165782928467,0.02180660516023636,0.9802955389022827,0.023095814511179924,0.0005000000237487257
0.9818887710571289,0.017817914485931396,0.9778324961662292,0.020705441012978554,0.0005000000237487257
