Experiment,Learning Rate,Batch,Dropout,Augment,Val Accuracy,Val Loss,Duration (min)
Exp1_SanityCheck,0.001,32,0.2,False,0.9655,0.0631,4.64
Exp2_Shallow_Tuning,0.0005,32,0.3,False,0.9778,0.0207,10.12
Exp3_Mid_Range,0.0001,16,0.4,True,0.9433,0.0581,17.33
Exp4_Deep_Dive,0.0001,16,0.5,True,0.9606,0.0392,24.22
Exp5_Final_Steroids,5e-05,16,0.5,True,0.9212,0.0698,31.74
